code,label
"var {{placeholder_counter}} int var {{placeholder_wait_group}} sync.WaitGroup func {{placeholder_incr_func}}() { defer {{placeholder_wait_group}}.Done() {{placeholder_counter}} = {{placeholder_counter}} + 1 } func main() { {{placeholder_wait_group}}.Add({{placeholder_goroutine_num}}) for i := 0; i < {{placeholder_goroutine_num}}; i++ { go {{placeholder_incr_func}}() } {{placeholder_wait_group}}.Wait() }",1
"var {{placeholder_counter}} int var {{placeholder_wait_group}} sync.WaitGroup var {{placeholder_mutex}} sync.Mutex func {{placeholder_incr_func}}() { defer {{placeholder_wait_group}}.Done() {{placeholder_mutex}}.Lock() {{placeholder_counter}} = {{placeholder_counter}} + 1 {{placeholder_mutex}}.Unlock() } func main() { {{placeholder_wait_group}}.Add({{placeholder_goroutine_num}}) for i := 0; i < {{placeholder_goroutine_num}}; i++ { go {{placeholder_incr_func}}() } {{placeholder_wait_group}}.Wait() }",0
"var {{placeholder_counter}} int var {{placeholder_wait_group}} sync.WaitGroup func {{placeholder_decr_func}}() { defer {{placeholder_wait_group}}.Done() {{placeholder_counter}} = {{placeholder_counter}} - 1 } func main() { {{placeholder_wait_group}}.Add({{placeholder_goroutine_num}}) for i := 0; i < {{placeholder_goroutine_num}}; i++ { go {{placeholder_decr_func}}() } {{placeholder_wait_group}}.Wait() }",1
"var {{placeholder_counter}} int var {{placeholder_wait_group}} sync.WaitGroup var {{placeholder_mutex}} sync.Mutex func {{placeholder_decr_func}}() { defer {{placeholder_wait_group}}.Done() {{placeholder_mutex}}.Lock() {{placeholder_counter}} = {{placeholder_counter}} - 1 {{placeholder_mutex}}.Unlock() } func main() { {{placeholder_wait_group}}.Add({{placeholder_goroutine_num}}) for i := 0; i < {{placeholder_goroutine_num}}; i++ { go {{placeholder_decr_func}}() } {{placeholder_wait_group}}.Wait() }",0
"var {{placeholder_counter}} int var {{placeholder_wait_group}} sync.WaitGroup func {{placeholder_incr_func}}() { defer {{placeholder_wait_group}}.Done() {{placeholder_counter}} = {{placeholder_counter}} + 1 } func main() { {{placeholder_wait_group}}.Add(2) go {{placeholder_incr_func}}() go {{placeholder_incr_func}}() {{placeholder_wait_group}}.Wait() }",1
"var {{placeholder_counter}} int var {{placeholder_wait_group}} sync.WaitGroup var {{placeholder_mutex}} sync.Mutex func {{placeholder_incr_func}}() { defer {{placeholder_wait_group}}.Done() {{placeholder_mutex}}.Lock() {{placeholder_counter}} = {{placeholder_counter}} + 1 {{placeholder_mutex}}.Unlock() } func main() { {{placeholder_wait_group}}.Add(2) go {{placeholder_incr_func}}() go {{placeholder_incr_func}}() {{placeholder_wait_group}}.Wait() }",0
"var {{placeholder_counter}} int var {{placeholder_wait_group}} sync.WaitGroup func {{placeholder_decr_func}}() { defer {{placeholder_wait_group}}.Done() {{placeholder_counter}} = {{placeholder_counter}} - 1 } func main() { {{placeholder_wait_group}}.Add(2) go {{placeholder_decr_func}}() go {{placeholder_decr_func}}() {{placeholder_wait_group}}.Wait() }",1
"var {{placeholder_counter}} int var {{placeholder_wait_group}} sync.WaitGroup var {{placeholder_mutex}} sync.Mutex func {{placeholder_decr_func}}() { defer {{placeholder_wait_group}}.Done() {{placeholder_mutex}}.Lock() {{placeholder_counter}} = {{placeholder_counter}} - 1 {{placeholder_mutex}}.Unlock() } func main() { {{placeholder_wait_group}}.Add(2) go {{placeholder_decr_func}}() go {{placeholder_decr_func}}() {{placeholder_wait_group}}.Wait() }",0
"var {{placeholder_counter}} int var {{placeholder_wait_group}} sync.WaitGroup func {{placeholder_incr_func}}(number int) { defer {{placeholder_wait_group}}.Done() {{placeholder_counter}} = {{placeholder_counter}} + number } func main() { {{placeholder_wait_group}}.Add({{placeholder_goroutine_num}}) for i := 0; i < {{placeholder_goroutine_num}}; i++ { go {{placeholder_incr_func}}({{placeholder_num}}) } {{placeholder_wait_group}}.Wait() }",1
"var {{placeholder_counter}} int var {{placeholder_wait_group}} sync.WaitGroup var {{placeholder_mutex}} sync.Mutex func {{placeholder_incr_func}}(number int) { defer {{placeholder_wait_group}}.Done() {{placeholder_mutex}}.Lock() {{placeholder_counter}} = {{placeholder_counter}} + number {{placeholder_mutex}}.Unlock() } func main() { {{placeholder_wait_group}}.Add({{placeholder_goroutine_num}}) for i := 0; i < {{placeholder_goroutine_num}}; i++ { go {{placeholder_incr_func}}({{placeholder_num}}) } {{placeholder_wait_group}}.Wait() }",0
"var {{placeholder_counter}} int var {{placeholder_wait_group}} sync.WaitGroup func {{placeholder_decr_func}}(number int) { defer {{placeholder_wait_group}}.Done() {{placeholder_counter}} = {{placeholder_counter}} - number } func main() { {{placeholder_wait_group}}.Add({{placeholder_goroutine_num}}) for i := 0; i < {{placeholder_goroutine_num}}; i++ { go {{placeholder_decr_func}}({{placeholder_num}}) } {{placeholder_wait_group}}.Wait() }",1
"var {{placeholder_counter}} int var {{placeholder_wait_group}} sync.WaitGroup var {{placeholder_mutex}} sync.Mutex func {{placeholder_decr_func}}(number int) { defer {{placeholder_wait_group}}.Done() {{placeholder_mutex}}.Lock() {{placeholder_counter}} = {{placeholder_counter}} - number {{placeholder_mutex}}.Unlock() } func main() { {{placeholder_wait_group}}.Add({{placeholder_goroutine_num}}) for i := 0; i < {{placeholder_goroutine_num}}; i++ { go {{placeholder_decr_func}}({{placeholder_num}}) } {{placeholder_wait_group}}.Wait() }",0
"var {{placeholder_counter}} int var {{placeholder_wait_group}} sync.WaitGroup func {{placeholder_incr_func}}(number int) { defer {{placeholder_wait_group}}.Done() {{placeholder_counter}} = {{placeholder_counter}} + number } func main() { {{placeholder_wait_group}}.Add(2) go {{placeholder_incr_func}}({{placeholder_num}}) go {{placeholder_incr_func}}({{placeholder_num}}) {{placeholder_wait_group}}.Wait() }",1
"var {{placeholder_counter}} int var {{placeholder_wait_group}} sync.WaitGroup var {{placeholder_mutex}} sync.Mutex func {{placeholder_incr_func}}(number int) { defer {{placeholder_wait_group}}.Done() {{placeholder_mutex}}.Lock() {{placeholder_counter}} = {{placeholder_counter}} + number {{placeholder_mutex}}.Unlock() } func main() { {{placeholder_wait_group}}.Add(2) go {{placeholder_incr_func}}({{placeholder_num}}) go {{placeholder_incr_func}}({{placeholder_num}}) {{placeholder_wait_group}}.Wait() }",0
"var {{placeholder_counter}} int var {{placeholder_wait_group}} sync.WaitGroup func {{placeholder_decr_func}}(number int) { defer {{placeholder_wait_group}}.Done() {{placeholder_counter}} = {{placeholder_counter}} - number } func main() { {{placeholder_wait_group}}.Add(2) go {{placeholder_decr_func}}({{placeholder_num}}) go {{placeholder_decr_func}}({{placeholder_num}}) {{placeholder_wait_group}}.Wait() }",1
"var {{placeholder_counter}} int var {{placeholder_wait_group}} sync.WaitGroup var {{placeholder_mutex}} sync.Mutex func {{placeholder_decr_func}}(number int) { defer {{placeholder_wait_group}}.Done() {{placeholder_mutex}}.Lock() {{placeholder_counter}} = {{placeholder_counter}} - number {{placeholder_mutex}}.Unlock() } func main() { {{placeholder_wait_group}}.Add(2) go {{placeholder_decr_func}}({{placeholder_num}}) go {{placeholder_decr_func}}({{placeholder_num}}) {{placeholder_wait_group}}.Wait() }",0
"var {{placeholder_counter}} int var {{placeholder_wait_group}} sync.WaitGroup func {{placeholder_incr_func}}() { defer {{placeholder_wait_group}}.Done() {{placeholder_counter}} = {{placeholder_counter}} + 1 } func {{placeholder_decr_func}}() { defer {{placeholder_wait_group}}.Done() {{placeholder_counter}} = {{placeholder_counter}} - 1 } func main() { {{placeholder_wait_group}}.Add(2) go {{placeholder_incr_func}}() go {{placeholder_decr_func}}() {{placeholder_wait_group}}.Wait() }",1
"var {{placeholder_counter}} int var {{placeholder_wait_group}} sync.WaitGroup var {{placeholder_mutex}} sync.Mutex func {{placeholder_incr_func}}() { defer {{placeholder_wait_group}}.Done() {{placeholder_mutex}}.Lock() {{placeholder_counter}} = {{placeholder_counter}} + 1 {{placeholder_mutex}}.Unlock() } func {{placeholder_decr_func}}() { defer {{placeholder_wait_group}}.Done() {{placeholder_mutex}}.Lock() {{placeholder_counter}} = {{placeholder_counter}} - 1 {{placeholder_mutex}}.Unlock() } func main() { {{placeholder_wait_group}}.Add(2) go {{placeholder_incr_func}}() go {{placeholder_decr_func}}() {{placeholder_wait_group}}.Wait() }",0
"var {{placeholder_counter}} int var {{placeholder_wait_group}} sync.WaitGroup func {{placeholder_decr_func}}() { defer {{placeholder_wait_group}}.Done() {{placeholder_counter}} = {{placeholder_counter}} - 1 } func {{placeholder_incr_func}}() { defer {{placeholder_wait_group}}.Done() {{placeholder_counter}} = {{placeholder_counter}} + 1 } func main() { {{placeholder_wait_group}}.Add(2) go {{placeholder_decr_func}}() go {{placeholder_incr_func}}() {{placeholder_wait_group}}.Wait() }",1
"var {{placeholder_counter}} int var {{placeholder_wait_group}} sync.WaitGroup var {{placeholder_mutex}} sync.Mutex func {{placeholder_decr_func}}() { defer {{placeholder_wait_group}}.Done() {{placeholder_mutex}}.Lock() {{placeholder_counter}} = {{placeholder_counter}} - 1 {{placeholder_mutex}}.Unlock() } func {{placeholder_incr_func}}() { defer {{placeholder_wait_group}}.Done() {{placeholder_mutex}}.Lock() {{placeholder_counter}} = {{placeholder_counter}} + 1 {{placeholder_mutex}}.Unlock() } func main() { {{placeholder_wait_group}}.Add(2) go {{placeholder_decr_func}}() go {{placeholder_incr_func}}() {{placeholder_wait_group}}.Wait() }",0
"var {{placeholder_counter}} int var {{placeholder_wait_group}} sync.WaitGroup func {{placeholder_incr_func}}(number int) { defer {{placeholder_wait_group}}.Done() {{placeholder_counter}} = {{placeholder_counter}} + number } func {{placeholder_decr_func}}(number int) { defer {{placeholder_wait_group}}.Done() {{placeholder_counter}} = {{placeholder_counter}} - number } func main() { {{placeholder_wait_group}}.Add(2) go {{placeholder_incr_func}}({{placeholder_incr_num}}) go {{placeholder_decr_func}}({{placeholder_decr_num}}) {{placeholder_wait_group}}.Wait() }",1
"var {{placeholder_counter}} int var {{placeholder_wait_group}} sync.WaitGroup var {{placeholder_mutex}} sync.Mutex func {{placeholder_incr_func}}(number int) { defer {{placeholder_wait_group}}.Done() {{placeholder_mutex}}.Lock() {{placeholder_counter}} = {{placeholder_counter}} + number {{placeholder_mutex}}.Unlock() } func {{placeholder_decr_func}}(number int) { defer {{placeholder_wait_group}}.Done() {{placeholder_mutex}}.Lock() {{placeholder_counter}} = {{placeholder_counter}} - number {{placeholder_mutex}}.Unlock() } func main() { {{placeholder_wait_group}}.Add(2) go {{placeholder_incr_func}}({{placeholder_incr_num}}) go {{placeholder_decr_func}}({{placeholder_decr_num}}) {{placeholder_wait_group}}.Wait() }",0
"var {{placeholder_counter}} int var {{placeholder_wait_group}} sync.WaitGroup func {{placeholder_decr_func}}(number int) { defer {{placeholder_wait_group}}.Done() {{placeholder_counter}} = {{placeholder_counter}} - number } func {{placeholder_incr_func}}(number int) { defer {{placeholder_wait_group}}.Done() {{placeholder_counter}} = {{placeholder_counter}} + number } func main() { {{placeholder_wait_group}}.Add(2) go {{placeholder_decr_func}}({{placeholder_decr_num}}) go {{placeholder_incr_func}}({{placeholder_incr_num}}) {{placeholder_wait_group}}.Wait() }",1
"var {{placeholder_counter}} int var {{placeholder_wait_group}} sync.WaitGroup var {{placeholder_mutex}} sync.Mutex func {{placeholder_decr_func}}(number int) { defer {{placeholder_wait_group}}.Done() {{placeholder_mutex}}.Lock() {{placeholder_counter}} = {{placeholder_counter}} - number {{placeholder_mutex}}.Unlock() } func {{placeholder_incr_func}}(number int) { defer {{placeholder_wait_group}}.Done() {{placeholder_mutex}}.Lock() {{placeholder_counter}} = {{placeholder_counter}} + number {{placeholder_mutex}}.Unlock() } func main() { {{placeholder_wait_group}}.Add(2) go {{placeholder_decr_func}}({{placeholder_decr_num}}) go {{placeholder_incr_func}}({{placeholder_incr_num}}) {{placeholder_wait_group}}.Wait() }",0
"var data []int var {{placeholder_wait_group}} sync.WaitGroup func {{placeholder_append_data_func}}(value int) { defer {{placeholder_wait_group}}.Done() data = append(data value) } func main() { {{placeholder_wait_group}}.Add({{placeholder_goroutine_num}}) for i := 0; i < {{placeholder_goroutine_num}}; i++ { go {{placeholder_append_data_func}}({{placeholder_append_data}}) } {{placeholder_wait_group}}.Wait() }",1
"var data []int var {{placeholder_wait_group}} sync.WaitGroup var {{placeholder_mutex}} sync.Mutex func {{placeholder_append_data_func}}(value int) { defer {{placeholder_wait_group}}.Done() {{placeholder_mutex}}.Lock() data = append(data value) {{placeholder_mutex}}.Unlock() } func main() { {{placeholder_wait_group}}.Add({{placeholder_goroutine_num}}) for i := 0; i < {{placeholder_goroutine_num}}; i++ { go {{placeholder_append_data_func}}({{placeholder_append_data}}) } {{placeholder_wait_group}}.Wait() }",0
"var data []int var {{placeholder_wait_group}} sync.WaitGroup func {{placeholder_append_data_func}}(value int) { defer {{placeholder_wait_group}}.Done() data = append(data value) } func main() { {{placeholder_wait_group}}.Add(2) go {{placeholder_append_data_func}}({{placeholder_append_data1}}) go {{placeholder_append_data_func}}({{placeholder_append_data2}}) {{placeholder_wait_group}}.Wait() }",1
"var data []int var {{placeholder_wait_group}} sync.WaitGroup var {{placeholder_mutex}} sync.Mutex func {{placeholder_append_data_func}}(value int) { defer {{placeholder_wait_group}}.Done() {{placeholder_mutex}}.Lock() data = append(data value) {{placeholder_mutex}}.Unlock() } func main() { {{placeholder_wait_group}}.Add(2) go {{placeholder_append_data_func}}({{placeholder_append_data1}}) go {{placeholder_append_data_func}}({{placeholder_append_data2}}) {{placeholder_wait_group}}.Wait() }",0
